"GEO_ID","NAME","B06011_001E","B06011_001M","B06011_002E","B06011_002M","B06011_003E","B06011_003M","B06011_004E","B06011_004M","B06011_005E","B06011_005M",
"Geography","Geographic Area Name","Estimate!!Median income in the past 12 months --!!Total:","Margin of Error!!Median income in the past 12 months --!!Total:","Estimate!!Median income in the past 12 months --!!Total:!!Born in state of residence","Margin of Error!!Median income in the past 12 months --!!Total:!!Born in state of residence","Estimate!!Median income in the past 12 months --!!Total:!!Born in other state of the United States","Margin of Error!!Median income in the past 12 months --!!Total:!!Born in other state of the United States","Estimate!!Median income in the past 12 months --!!Total:!!Native; born outside the United States","Margin of Error!!Median income in the past 12 months --!!Total:!!Native; born outside the United States","Estimate!!Median income in the past 12 months --!!Total:!!Foreign born","Margin of Error!!Median income in the past 12 months --!!Total:!!Foreign born",
"1600000US2541532","Millis-Clicquot CDP, Massachusetts","66108","16458","66094","20597","80114","34709","-","**","48167","32954",
"1600000US2541725","Milton CDP, Massachusetts","70866","10242","61603","9854","93295","18747","90956","10537","52860","35839",
"1600000US2541960","Monomoscoy Island CDP, Massachusetts","80813","2859","80563","5066","-","**","-","**","-","**",
"1600000US2542180","Monson Center CDP, Massachusetts","37070","8137","36706","7308","41150","26335","-","**","-","**",
"1600000US2542670","Monument Beach CDP, Massachusetts","52075","23494","64647","17586","-","**","-","**","20253","8377",
"1600000US2543615","Nahant CDP, Massachusetts","65672","8893","63009","13438","67059","18089","-","**","90313","59581",
"1600000US2543755","Nantucket CDP, Massachusetts","63588","7459","60015","12338","67865","6182","-","**","97095","39820",
"1600000US2544140","Needham CDP, Massachusetts","82929","7396","64781","11123","105313","18445","-","**","92115","20654",
"1600000US2545000","New Bedford city, Massachusetts","32632","1424","35435","1620","38316","6025","19339","3395","31111","1704",
"1600000US2545245","Newburyport city, Massachusetts","70378","9751","60752","6848","87566","9726","91087","56854","78125","65027",
"1600000US2545500","New Seabury CDP, Massachusetts","106148","9404","106026","7034","117917","44762","-","**","-","**",
"1600000US2545560","Newton city, Massachusetts","77066","4275","52399","6045","94793","6232","55000","42381","93388","8630",
"1600000US2546225","North Adams city, Massachusetts","29010","2819","30602","4987","27365","5239","11513","920","40625","9371",
"1600000US2546330","Northampton city, Massachusetts","40202","3117","33140","5915","54039","7930","13556","12283","36301","4665",
"1600000US2546598","North Attleborough Town city, Massachusetts","55870","4856","52821","3374","68292","6555","58308","12454","54683","11121",
"1600000US2546785","Northborough CDP, Massachusetts","71364","13089","66143","4931","95625","24591","90955","32183","79688","39460",
"1600000US2547100","North Brookfield CDP, Massachusetts","42765","3695","45357","5863","38233","8229","-","**","-","**",
"1600000US2547590","North Eastham CDP, Massachusetts","35357","28368","31708","6822","51042","22825","-","**","51976","33123",
"1600000US2547730","North Falmouth CDP, Massachusetts","63863","15858","63750","14840","73438","60853","161607","100942","41544","21621",
"1600000US2547800","Northfield CDP, Massachusetts","36691","11163","34375","20514","35294","14856","-","**","-","**",
"1600000US2548220","North Lakeville CDP, Massachusetts","62236","8268","54362","7642","95648","12565","-","**","-","**",
"1600000US2548710","North Pembroke CDP, Massachusetts","70489","18424","38429","29261","175102","70446","-","**","-","**",
"1600000US2548780","North Plymouth CDP, Massachusetts","44653","14317","47545","17909","51875","24909","-","**","36964","24165",
"1600000US2549165","North Scituate CDP, Massachusetts","55324","15511","51413","8397","86964","27163","-","**","-","**",
"1600000US2549200","North Seekonk CDP, Massachusetts","57955","6085","53619","12197","58591","7019","-","**","108359","71844",
"1600000US2549700","Northwest Harwich CDP, Massachusetts","53988","11738","53910","14410","51429","29515","-","**","58875","13711",
"1600000US2549710","North Westport CDP, Massachusetts","41213","5962","46075","10840","42467","12684","-","**","37920","8644",
"1600000US2550005","Norton Center CDP, Massachusetts","10602","2808","14896","5239","8497","2549","-","**","6010","5764",
"1600000US2550285","Norwood CDP, Massachusetts","56562","3998","52264","5643","71445","11427","18802","10120","60076","12394",
"1600000US2550425","Oak Bluffs CDP, Massachusetts","46505","25009","46734","22962","-","**","-","**","-","**",
"1600000US2550862","Ocean Bluff-Brant Rock CDP, Massachusetts","55798","10473","56324","14143","53125","11059","188207","143245","-","**",
"1600000US2550880","Ocean Grove CDP, Massachusetts","52145","9202","50355","13028","52647","18024","-","**","82736","24832",
"1600000US2551160","Onset CDP, Massachusetts","73844","6985","74623","13655","-","**","-","**","-","**",
"1600000US2551230","Orange CDP, Massachusetts","32467","5666","32420","7633","29792","11188","-","**","54297","4431",
"1600000US2551405","Orleans CDP, Massachusetts","49386","3037","51281","4570","41287","19256","-","**","-","**",
"1600000US2551790","Oxford CDP, Massachusetts","45389","7077","44987","7817","46528","29951","-","**","-","**",
"1600000US2552144","Palmer Town city, Massachusetts","43955","2676","44060","2848","39196","9769","86118","931","35089","15035",
"1600000US2552490","Peabody city, Massachusetts","49431","2650","52095","3610","53700","11016","50959","34635","42912","3745",
"1600000US2552770","Pepperell CDP, Massachusetts","47026","10519","41458","15522","70938","26028","-","**","40491","25093",
"1600000US2553085","Petersham CDP, Massachusetts","57543","19070","58534","6898","40417","20442","-","**","-","**",
"1600000US2553680","Pinehurst CDP, Massachusetts","52387","5833","50250","6931","96439","13435","-","**","48857","7096",
"1600000US2553960","Pittsfield city, Massachusetts","37387","2294","36171","1629","48785","5353","29643","12293","37532","9843",
"1600000US2554275","Plymouth CDP, Massachusetts","44035","6803","44298","7332","57139","30228","-","**","30833","17002",
"1600000US2554450","Pocasset CDP, Massachusetts","47416","7674","46563","13118","48390","13662","-","**","-","**",
"1600000US2555070","Popponesset CDP, Massachusetts","71183","47294","-","**","70313","28483","-","**","-","**",
"1600000US2555090","Popponesset Island CDP, Massachusetts","71354","568","-","**","-","**","-","**","-","**",
"1600000US2555535","Provincetown CDP, Massachusetts","54202","9973","74821","33690","53350","4021","-","**","53715","27604",
"1600000US2555745","Quincy city, Massachusetts","51152","2226","51962","2592","74735","4645","33367","9222","42536","3303",
"1600000US2556000","Randolph Town city, Massachusetts","47561","2344","46408","1480","49767","16035","33730","29932","51350","4964",
"1600000US2556095","Raynham Center CDP, Massachusetts","61250","13953","72099","7184","61367","23225","-","**","-","**",
"1600000US2556165","Reading CDP, Massachusetts","77054","4001","70500","4419","105990","15954","133317","57020","75787","23851",
"1600000US2556585","Revere city, Massachusetts","40054","2711","35781","3297","57782","7673","-","**","40336","2520",
"1600000US2557845","Rockport CDP, Massachusetts","48696","7618","48194","8514","52209","10420","-","**","-","**",
"1600000US2558370","Rowley CDP, Massachusetts","43711","16655","47667","19400","37463","36004","-","**","-","**",
"1600000US2558615","Russell CDP, Massachusetts","57500","17716","50966","17469","75547","6640","-","**","-","**",
"1600000US2558790","Rutland CDP, Massachusetts","47083","9724","43672","8236","65404","43208","-","**","50781","45915",
"1600000US2558965","Sagamore CDP, Massachusetts","51602","6002","50696","11239","55516","5810","-","**","28571","26033",
"1600000US2559105","Salem city, Massachusetts","48801","2935","45237","3182","64112","6940","34684","20957","43452","6860",
"1600000US2559210","Salisbury CDP, Massachusetts","53654","7575","51929","7395","61694","17769","-","**","-","**",
"1600000US2559700","Sandwich CDP, Massachusetts","65417","10076","63023","11340","70545","9893","-","**","-","**",
"1600000US2560050","Saugus CDP, Massachusetts","44990","3096","43903","2547","69936","18351","-","**","44457","7422",
"1600000US2560295","Scituate CDP, Massachusetts","67699","9489","64804","11305","98068","27619","-","**","-","**",
"1600000US2560505","Seabrook CDP, Massachusetts","66250","20864","63125","15600","83333","32138","-","**","-","**",
"1600000US2560627","Seconsett Island CDP, Massachusetts","43750","15137","-","**","-","**","-","**","-","**",
"1600000US2560820","Sharon CDP, Massachusetts","72941","9169","52280","18145","81532","18402","86125","80580","81845","30004",
"1600000US2561205","Shelburne Falls CDP, Massachusetts","36375","7368","25822","5000","50547","10416","24107","22114","29375","26831",
"1600000US2561555","Shirley CDP, Massachusetts","57045","6246","44800","25824","96320","1486","-","**","-","**",
"1600000US2561940","Siasconset CDP, Massachusetts","-","**","-","**","-","**","-","**","-","**",
"1600000US2562300","Smith Mills CDP, Massachusetts","38725","5169","38048","6115","60119","40861","12143","6609","54271","37372",
"1600000US2562465","Somerset CDP, Massachusetts","56107","6144","55369","7631","62760","12962","35521","22895","48581","7482",
"1600000US2562535","Somerville city, Massachusetts","65144","2958","62964","4545","74643","3444","78803","28904","49513","5632",
"1600000US2562780","South Ashburnham CDP, Massachusetts","52530","21226","59408","25959","30771","1685","-","**","-","**",
"1600000US2563345","Southbridge Town city, Massachusetts","36765","3485","38836","4646","39101","5665","30903","11536","39707","15591",
"1600000US2563620","South Deerfield CDP, Massachusetts","59959","10389","58791","11678","88229","20993","-","**","-","**",
"1600000US2563655","South Dennis CDP, Massachusetts","51024","7896","53232","4806","44934","15999","40882","38103","41563","26502",
"1600000US2563690","South Duxbury CDP, Massachusetts","65824","17296","59223","12336","91620","16333","151386","68504","48407","1971",
"1600000US2564460","South Lancaster CDP, Massachusetts","47054","26760","60033","7677","-","**","-","**","-","**",
"1600000US2566035","South Yarmouth CDP, Massachusetts","44501","4356","41104","6921","51136","12180","-","**","46418","8301",
"1600000US2566070","Spencer CDP, Massachusetts","39380","4208","40450","4049","42714","9915","-","**","-","**",
"1600000US2567000","Springfield city, Massachusetts","30201","1165","31867","1816","35584","3341","22541","2595","32612","4263",
"1600000US2567700","Stoneham CDP, Massachusetts","61839","4671","59980","3816","77318","11332","38868","2268","64063","26723",
"1600000US2568120","Sturbridge CDP, Massachusetts","58699","7199","55000","9426","76176","24723","-","**","-","**",
"1600000US2568680","Swampscott CDP, Massachusetts","63503","9612","59177","7592","87227","18338","-","**","50904","19228",
"1600000US2569170","Taunton city, Massachusetts","42001","1815","42256","2630","54451","6714","30525","6852","38129","4473",
"1600000US2569205","Teaticket CDP, Massachusetts","50938","7868","38750","23486","59018","14136","-","**","47721","28336",
"1600000US2569585","The Pinehills CDP, Massachusetts","62020","14888","67361","13929","58833","13328","-","**","73906","58681",
"1600000US2570115","Topsfield CDP, Massachusetts","81576","15575","77614","28330","116791","41322","-","**","-","**",
"1600000US2570325","Townsend CDP, Massachusetts","31484","7189","26500","10014","-","**","-","**","-","**",
"1600000US2570815","Turners Falls CDP, Massachusetts","38244","2675","38657","2805","38897","5138","13750","2264","-","**",
"1600000US2571445","Upton CDP, Massachusetts","55283","9656","52366","10556","56146","10539","-","**","49656","19519",
"1600000US2571970","Vineyard Haven CDP, Massachusetts","43152","12717","42940","21716","72313","40823","-","**","30559","1874",
"1600000US2572250","Wakefield CDP, Massachusetts","71519","3093","68951","5719","96821","11124","-","**","63045","12784",
"1600000US2572460","Walpole CDP, Massachusetts","74183","6752","72092","8780","97806","5452","-","**","36914","11804",
"1600000US2572600","Waltham city, Massachusetts","52402","2672","49864","3603","57239","6382","51912","27312","51931","5982",
"1600000US2572845","Ware CDP, Massachusetts","30700","3293","29758","3437","49583","21026","11394","10159","19464","5423",
"1600000US2573020","Wareham Center CDP, Massachusetts","55353","14700","51338","16600","83580","13437","-","**","-","**",
"1600000US2573055","Warren CDP, Massachusetts","-","**","28250","27518","-","**","-","**","-","**",
"1600000US2573405","Watertown city, Massachusetts","71219","4135","61236","3976","88333","6464","67898","50041","72967","7449",
"1600000US2573930","Webster CDP, Massachusetts","37295","2892","36077","3452","41133","11550","35114","7969","41458","6892",
"1600000US2574210","Wellesley CDP, Massachusetts","77428","5812","64734","9280","79206","12162","83893","28638","102589","16685",
