"GEO_ID","NAME","B05010_001E","B05010_001M","B05010_002E","B05010_002M","B05010_003E","B05010_003M","B05010_004E","B05010_004M","B05010_005E","B05010_005M","B05010_006E","B05010_006M","B05010_007E","B05010_007M","B05010_008E","B05010_008M","B05010_009E","B05010_009M","B05010_010E","B05010_010M","B05010_011E","B05010_011M","B05010_012E","B05010_012M","B05010_013E","B05010_013M","B05010_014E","B05010_014M","B05010_015E","B05010_015M","B05010_016E","B05010_016M","B05010_017E","B05010_017M","B05010_018E","B05010_018M","B05010_019E","B05010_019M","B05010_020E","B05010_020M","B05010_021E","B05010_021M","B05010_022E","B05010_022M","B05010_023E","B05010_023M","B05010_024E","B05010_024M","B05010_025E","B05010_025M",
"1600000US2576030","Westfield city, Massachusetts","7057","695","854","405","291","169","85","91","206","162","0","29","563","392","260","259","303","307","737","270","230","198","182","187","22","36","26","43","507","194","437","187","70","88","5466","659","4329","597","3613","634","357","205","359","256","1137","340","1137","340","0","29",
"1600000US2577890","West Springfield Town city, Massachusetts","5410","476","810","370","282","252","162","212","120","118","0","25","528","280","442","267","86","96","1263","487","914","461","257","204","657","419","0","25","349","241","236","185","113","149","3337","584","2610","573","2005","584","518","230","87","74","727","265","698","262","29","35",
"1600000US2578410","West Wareham CDP, Massachusetts","256","175","74","81","0","14","0","14","0","14","0","14","74","81","74","81","0","14","44","76","0","14","0","14","0","14","0","14","44","76","44","76","0","14","138","122","71","84","64","78","0","14","7","14","67","72","67","72","0","14",
"1600000US2578445","West Warren CDP, Massachusetts","38","56","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","38","56","38","56","38","56","0","14","0","14","0","14","0","14","0","14",
"1600000US2578795","West Yarmouth CDP, Massachusetts","826","379","47","48","25","39","0","19","25","39","0","19","22","32","22","32","0","19","20","27","0","19","0","19","0","19","0","19","20","27","20","27","0","19","759","385","560","265","98","98","374","229","88","113","199","247","93","143","106","154",
"1600000US2578850","Weweantic CDP, Massachusetts","143","102","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","110","99","43","73","43","73","0","14","0","14","67","87","67","87","0","14","33","41","33","41","33","41","0","14","0","14","0","14","0","14","0","14",
"1600000US2578972","Weymouth Town city, Massachusetts","9360","712","646","270","165","127","67","104","98","88","0","32","481","242","405","210","76","113","756","511","344","205","216","181","53","58","75","86","412","496","402","493","10","33","7958","533","6766","572","4654","568","1442","435","670","262","1192","327","918","278","274","162",
"1600000US2579390","White Island Shores CDP, Massachusetts","118","187","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","118","187","0","14","0","14","0","14","0","14","118","187","118","187","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US2579495","Whitinsville CDP, Massachusetts","1477","266","259","206","0","19","0","19","0","19","0","19","259","206","259","206","0","19","198","216","91","138","0","19","91","138","0","19","107","195","107","195","0","19","1020","300","636","234","519","225","105","146","12","25","384","268","384","268","0","19",
"1600000US2579705","Wilbraham CDP, Massachusetts","538","254","69","108","69","108","69","108","0","14","0","14","0","14","0","14","0","14","50","58","23","34","0","14","23","34","0","14","27","46","27","46","0","14","419","229","419","229","390","244","29","49","0","14","0","14","0","14","0","14",
"1600000US2579950","Williamstown CDP, Massachusetts","567","308","31","34","0","19","0","19","0","19","0","19","31","34","31","34","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","536","308","392","255","288","216","32","61","72","86","144","111","74","75","70","83",
"1600000US2580195","Wilmington CDP, Massachusetts","5282","665","165","114","30","43","30","43","0","25","0","25","135","111","135","111","0","25","823","711","588","675","588","675","0","25","0","25","235","197","235","197","0","25","4294","373","3917","364","3449","371","285","141","183","113","377","154","325","147","52","68",
"1600000US2580370","Winchendon CDP, Massachusetts","988","271","361","219","61","89","11","19","0","14","50","83","300","207","300","207","0","14","120","104","15","24","15","24","0","14","0","14","105","102","105","102","0","14","507","300","351","273","351","273","0","14","0","14","156","120","156","120","0","14",
"1600000US2580545","Winchester CDP, Massachusetts","6382","366","264","191","133","157","32","52","101","149","0","25","131","146","123","145","8","13","343","224","64","75","25","40","39","64","0","25","279","224","279","224","0","25","5775","416","5307","420","3134","444","1322","254","851","295","468","256","380","246","88","74",
"1600000US2581005","Winthrop Town city, Massachusetts","3595","407","192","132","65","62","0","21","32","40","33","48","127","114","127","114","0","21","398","241","64","83","0","21","53","81","11","13","334","231","321","235","13","24","3005","419","2269","346","1415","327","578","271","276","144","736","300","508","204","228","208",
"1600000US2581035","Woburn city, Massachusetts","7411","529","816","357","189","163","51","64","138","150","0","29","627","313","362","222","265","242","623","255","156","131","59","78","73","86","24","49","467","214","293","149","174","159","5972","577","5168","638","3418","521","1226","445","524","247","804","325","676","310","128","91",
"1600000US2581245","Woods Hole CDP, Massachusetts","72","70","17","29","0","14","0","14","0","14","0","14","17","29","17","29","0","14","46","63","0","14","0","14","0","14","0","14","46","63","46","63","0","14","9","14","0","14","0","14","0","14","0","14","9","14","9","14","0","14",
"1600000US2582000","Worcester city, Massachusetts","38300","1304","8723","1300","2169","647","242","207","1396","456","531","427","6554","1219","4505","861","2049","848","8600","1061","3728","663","1278","429","1882","515","568","281","4872","897","3263","741","1609","571","20977","1389","14652","1216","5995","892","5914","939","2743","655","6325","712","4689","725","1636","385",
"1600000US2582595","Yarmouth Port CDP, Massachusetts","700","219","80","97","57","90","57","90","0","19","0","19","23","37","23","37","0","19","18","28","0","19","0","19","0","19","0","19","18","28","18","28","0","19","602","184","420","170","408","167","0","19","12","19","182","111","171","110","11","17",
